headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,example_ru,synonyms,antonyms,word_family,common_mistake
hand over,phrasal verb,B2,"topshirmoq, berib yubormoq","передавать, вручать",to give something to someone else formally or officially,/hænd ˈəʊvə/,20323,phrasal,The outgoing manager agreed to hand over all the duties by Friday.,Lavozimidan ketayotgan menejer juma kuniga qadar barcha vazifalarni topshirishga rozi bo'ldi.,Уходящий менеджер согласился передать все обязанности к пятнице.,"pass on, surrender, transfer","withhold, retain",handover,"Ot shaklida 'handover' birga yoziladi, ammo fe'l birikmasi bo'lganda 'hand over' deb ajratib yoziladi."
root for,phrasal verb,B2,"muxlislik qilmoq, qo'llab-quvvatlamoq","болеть за, поддерживать","to express support for a person, team, or cause",/ruːt fɔː/,20325,phrasal,Everyone in the office is rooting for you during your interview today.,Bugungi suhbatingiz davomida idoradagi barcha sizga muxlislik qilmoqda.,Все в офисе болеют за вас во время сегодняшнего собеседования.,"cheer for, support, back",oppose,rooting,"'Root for' iborasi doimo 'for' predlogi bilan ishlatiladi, predlogni tushirib qoldirish xatodir."
tone down,phrasal verb,C1,"yumshatmoq, bosingqiroq qilmoq","смягчать, делать менее резким","to make something less forceful, harsh, or offensive",/təʊn daʊn/,20327,phrasal,The editor advised the journalist to tone down her aggressive language.,Muarrir jurnalistga uning tajovuzkor tilini biroz yumshatishni maslahat berdi.,Редактор посоветовал журналистке смягчить её резкие высказывания.,"soften, moderate, temper","amplify, intensify",toned down,"'Tone down' shaxsning o'zini emas, balki uning matni, nutqi yoki xulq-atvorini bosingqiroq qilishda qo'llaniladi."
screen out,phrasal verb,B2,"saralab olib tashlamoq, filtrlash","отсеивать, фильтровать",to prevent unsuitable people or things from being accepted or included,/skriːn aʊt/,20329,phrasal,The hiring software helps screen out unqualified candidates automatically.,Ishga qabul qilish dasturi munosib bo'lmagan nomzodlarni avtomatik ravishda saralab olib tashlashga yordam beradi.,Программа по найму помогает автоматически отсеивать неквалифицированных кандидатов.,"filter out, weed out, exclude","select, include",screening,'Screen out' rad etish yoki o'tkazmaslikni bildiradi; saralab qabul qilish uchun shunchaki 'screen' ishlatiladi.
tip off,phrasal verb,B2,"ogohlantirmoq, sirli xabar bermoq","предупреждать, давать наводку",to give someone secret information or a warning about something,/tɪp ɒf/,20331,phrasal,An anonymous caller tipped off the police about the planned robbery.,Noma'lum qo'ng'iroq qiluvchi militsiyaga rejalashtirilgan o'g'rilik haqida yashirincha xabar berdi.,Анонимный абонент предупредил полицию о планируемом ограблении.,"warn, inform, alert",,tip-off,"Fe'l birikmasi 'tip off' ajratib yoziladi, chiziqcha bilan yozilgan 'tip-off' esa faqat ot hisoblanadi."
key in,phrasal verb,B1,"klaviaturada kiritmoq, terib kiritmoq",вводить с клавиатуры,to enter information into a computer or digital device using a keyboard,/kiː ɪn/,20333,phrasal,Please key in your personal identification number to proceed with the transaction.,O'tkazmani davom ettirish uchun shaxsiy identifikatsiya raqamingizni klaviaturada kiriting.,"Пожалуйста, введите ваш персональный идентификационный номер, чтобы продолжить транзакцию.","enter, type in, input",,keying in,"Raqamli moslamalarga ma'lumot kiritishda 'write in' emas, 'key in' yoki 'type in' ishlatilishi to'g'ri bo'ladi."
slip up,phrasal verb,B2,"xato qilmoq, adashib ketmoq","ошибаться, оступаться",to make a careless or foolish mistake,/slɪp ʌp/,20335,phrasal,"If you slip up on the final details, the entire project could fail.","So'nggi tafsilotlarda xatoga yo'l qo'sangiz, butun loyiha muvaffaqiyatsizlikka uchrashi mumkin.","Если вы оступитесь в финальных деталях, весь проект может провалиться.","blunder, make a mistake, err",succeed,slip-up,Fe'l bo'lganda 'slip up' ajratib yoziladi; 'slip-up' shakli faqat ot (xatolik) sifatida qo'llaniladi.
come down to,phrasal verb,B2,bog'liq bo'lmoq,быть зависимым,to be mainly decided or explained by one thing,,20337,phrasal,Success often comes down to consistent practice.,Muvaffaqiyat ko'pincha muntazam mashq qilishga bog'liq bo'ladi.,,,,,
follow up on,phrasal verb,B2,davomini tekshirmoq,проверьте продолжение,to take further action about something,,20339,phrasal,I will follow up on your application tomorrow.,Ertaga arizangiz bo'yicha keyingi ishlarni tekshiraman.,,,,,
go about,phrasal verb,B2,kirishmoq,входить,to begin or deal with a task in a particular way,,20341,phrasal,She explained how to go about solving the problem.,U muammoni yechishga qanday kirishishni tushuntirdi.,,,,,
read up on,phrasal verb,B2,batafsil o'rganib chiqmoq,подробно изучить,to study a subject by reading about it,,20343,phrasal,I read up on the company before my interview.,Suhbatdan oldin kompaniya haqida batafsil o'rganib chiqdim.,,,,,
knuckle down,phrasal verb,B2,jiddiy kirishmoq,стать серьезным,to start working or studying hard,,20345,phrasal,We need to knuckle down before the final exam.,Yakuniy imtihondan oldin o'qishga jiddiy kirishishimiz kerak.,,,,,
look out for,phrasal verb,B2,kuzatib turmoq,чтобы следить за,to watch carefully for someone or something,,20347,phrasal,Look out for an email confirming your booking.,Broningizni tasdiqlovchi xatni kuzatib turing.,,,,,
put forward,phrasal verb,B2,ilgari surmoq,продвигаться вперед,to suggest an idea or plan for consideration,,20349,phrasal,The committee put forward a practical solution.,Qo'mita amaliy yechimni ilgari surdi.,,,,,
set aside,phrasal verb,B2,ajratib qo'ymoq,отделить,to reserve time or money for a purpose,,20351,phrasal,Set aside an hour each day for vocabulary practice.,Har kuni lug'at mashqi uchun bir soat ajratib qo'ying.,,,,,
take apart,phrasal verb,B2,qismlarga ajratmoq,разделить на части,to separate something into its component parts,,20353,phrasal,The technician took the device apart to repair it.,Texnik qurilmani ta'mirlash uchun qismlarga ajratdi.,,,,,
set about,phrasal verb,B2,ishga kirishmoq,приступить к работе,to start doing something with determination,,20355,phrasal,They set about improving the course immediately.,Ular darhol kursni yaxshilashga kirishdilar.,,,,,
work up,phrasal verb,B2,asta-sekin rivojlantirmoq,развиваться постепенно,to gradually develop a feeling or ability,,20357,phrasal,He worked up the confidence to speak in public.,U omma oldida gapirish uchun asta-sekin ishonch hosil qildi.,,,,,
write up,phrasal verb,B2,to'liq yozib chiqmoq,напиши полностью,to prepare a complete written version of notes or research,,20359,phrasal,Please write up the results in a formal report.,Natijalarni rasmiy hisobot shaklida to'liq yozib chiqing.,,,,,
get the ball rolling,idiom,B1,Ishni boshlab yubormoq,Начать работу,"Used when you want to start a process, meeting, or project.",,20361,idioms,Let's get the ball rolling on this marketing project immediately.,"Keling, bu marketing loyihasini darhol boshlab yuboraylik.",,kick off | commence | start,put on hold | delay,get the ball rolling on | help get the ball rolling,Saying 'make the ball rolling'
touch base,idiom,B1,Qisqa bog'lanib hol-ahvol so'rashmoq yoki yangilik almashmoq,"Чтобы ненадолго связаться, чтобы спросить, как дела или обменяться новостями.",Used when you want to reconnect with someone to check on their status or get an update.,,20363,idioms,I'll touch base with you later this week to see how the report is coming along.,Hisobot qanday ketayotganini bilish uchun hafta oxirida siz bilan qisqacha bog'lanaman.,,reconnect | check in | update,,touch base with | touch base on | briefly touch base | need to touch base,Saying 'touch the base'
stay in the loop,idiom,B2,Xabardor bo'lib turmoq,Будьте в курсе,Used when you want to ensure you are kept informed about ongoing developments or changes.,,20365,idioms,Please keep me in the loop regarding the progress of the negotiations.,Muzokaralar qanday ketayotgani haqida meni xabardor qilib turing.,,informed | up to date | apprised,out of the loop,keep someone in the loop | stay in the loop | fully in the loop,Saying 'stay in the circle'
the bottom line,idiom,B2,"Asosiy xulosa, yakuniy natija","Главный вывод, конечный результат",Used to describe the most important fact or the final result of a situation.,,20367,idioms,The bottom line is that we need to increase our sales to survive.,"Xulosa shuki, omon qolish uchun savdolarimizni oshirishimiz kerak.",,crux | outcome | conclusion,,the bottom line is that | affect the bottom line | improve the bottom line,Using it to refer to a literal line at the bottom of a page
on the same page,idiom,B2,"Bir xil tushunishga kelmoq, fikrlari bir joydan chiqmoq","Прийти к тому же пониманию, выйти из того же места",Used when two or more people have reached a common understanding or agreement on a topic.,,20369,idioms,I just want to make sure we are all on the same page before we launch.,Ishni boshlashdan oldin hammamiz bir xil tushunayotganimizga ishonch hosil qilmoqchiman.,,aligned | agreeing | in sync,at odds,ensure everyone is on the same page | confirm we are on the same page,on the same book
a win-win situation,idiom,B1,Har ikki tomon uchun foydali bo'lgan vaziyat,Беспроигрышная ситуация,Used to describe a scenario where every party involved benefits.,,20371,idioms,This partnership is a win-win situation for both our companies.,Bu hamkorlik ikkala kompaniyamiz uchun ham foydali vaziyatdir.,,beneficial | advantageous | favorable,zero-sum game | lose-lose situation,create a win-win situation | lead to a win-win situation,Saying 'win-win scenario' (redundant)
think outside the box,idiom,B2,"Ijodiy fikrlash, nostandart yondashish","Креативное мышление, нестандартный подход",Encouraging creative or unconventional ideas when solving a problem.,,20373,idioms,"To compete in this market, we really need to think outside the box.",Bu bozorda raqobatlashish uchun haqiqatan ham noodatiy fikrlashimiz kerak.,,innovate | improvise | brainstorm,think conventionally | follow standard procedure,encouraged to think outside the box | forced to think outside the box,Thinking outside of the box (less common)
at the end of the day,idiom,B2,"yakunida, qisqasi, umuman olganda","в заключение, вкратце, в общем",Used to summarize the most important point after considering all facts.,,20375,idioms,"At the end of the day, our priority must be customer satisfaction.","Oxir-oqibat, bizning ustuvor vazifamiz mijozlar mamnunligi bo'lishi kerak.",,ultimately | eventually | fundamentally,,ultimately | priority | bottom line | fact | decide,at the end of day (missing 'the')
to move the goalposts,idiom,C1,"shartlarni o'zgartirish, qoidalarni o'zgartirish","изменить условия, изменить правила",Used to complain about someone changing the rules or requirements of a task after it has already started.,,20377,idioms,It is frustrating when the client keeps moving the goalposts on this project.,"Mijoz bu loyihada shartlarni doim o'zgartiraversa, juda asabiylasharli.",,change rules | shift targets,stick to the plan,constantly moving | moving the goalposts on | keep moving | frustrating,moving the goals
bring to the table,idiom,B2,"O'z hissasini qo'shmoq (taklif, g'oya, mahorat)","Вклад (предложение, идея, навык)","Used when describing what value, skills, or ideas a person or company contributes to a collaboration.",,20379,idioms,She brings over ten years of experience to the table.,U hamkorlikka o'n yildan ortiq tajriba olib keladi.,,contribute | offer | add,,what you bring to the table | bring something valuable to the table,bring on the table (wrong preposition)
to move the needle,idiom,C1,sezilarli o'zgarish yoki natija ko'rsatish,показать значительное изменение или результат,"Used to describe actions that create a noticeable, measurable impact on results.",,20381,idioms,We need a strategy that actually moves the needle on our annual sales growth.,Yillik savdo o'sishimizga sezilarli ta'sir qiladigan strategiya kerak.,,make an impact | show results | affect the outcome,have no effect | to stagnate,really move the needle | move the needle significantly,move the needles
worth my while,idiom,B2,"Vaqt ajratishga arziydigan, manfaatli","Стоит потраченного времени, интересно","Used when evaluating whether a project, task, or meeting provides enough value to justify the time spent.",,20383,idioms,Is it worth my while to attend the conference in London?,Londondagi konferensiyaga borish vaqtimga arziydimi?,,profitable | rewarding | advantageous,waste of time | pointless,make it worth my while | ensure it is worth my while | hardly worth my while,Worth my time
a steep learning curve,idiom,B2,"Murakkab o'rganish jarayoni, ko'p narsani tez o'rganish kerak bo'lgan vaziyat","Сложный процесс обучения, ситуация, когда многим вещам нужно научиться быстро.",Used when describing a task or job that is difficult to learn because it is complex or requires new skills.,,20385,idioms,Using this new software comes with a rather steep learning curve.,Ushbu yangi dasturdan foydalanish ancha murakkab o'rganish jarayonini talab qiladi.,,challenging | demanding | complex,intuitive | straightforward,very steep learning curve | face a steep learning curve,A high learning curve
down in the dumps,idiom,B2,"tushkunlikka tushgan, ruhi tushgan","депрессивный, депрессивный","Used to describe someone who is feeling sad, depressed, or lacking energy for a period of time.",,20387,idioms,He has been a bit down in the dumps since he lost his job.,Ishini yo'qotganidan beri uning ruhi biroz tushib yuribdi.,,depressed | miserable | gloomy,on cloud nine | chirpy,a bit down in the dumps | feeling down in the dumps | stay down in the dumps,using 'in the dump' (singular)
to be fuming,idiom,B2,juda qattiq jahli chiqqan,очень зол,"Used when someone is extremely angry or outraged, often showing it through their behavior.",,20389,idioms,The passengers were fuming because the flight was delayed by six hours.,Parvoz olti soatga kechiktirilgani uchun yo'lovchilar juda jahli chiqdi.,,enraged | irate | angry,cool as a cucumber,absolutely fuming | fuming about | fuming at | fuming with rage,saying 'fuming at someone' without a reason
to be at one's wits' end,idiom,C1,"nima qilishni bilmay qolgan, asabi charchagan","он не знал, что делать, он был измотан",Used when someone has tried everything to solve a problem and is now completely frustrated or anxious.,,20391,idioms,I’ve tried fixing the computer three times; I’m at my wits' end.,Kompyuterni uch marta tuzatishga urindim; endi nima qilishni bilmay qoldim.,,frustrated | exasperated | desperate,relaxed | composed,completely at my wits' end | drove me to my wits' end | at my wits' end with,using 'at my wit end'
to be on edge,idiom,B2,asabiy yoki tarang holatda bo'lmoq,нервничать или напрягаться,"Used when someone is nervous, tense, or anxious about something that might happen.",,20393,idioms,I've been on edge all day waiting for the exam results.,"Imtihon natijalarini kutib, kun bo'yi tarang edim.",,tense | anxious | apprehensive,relaxed | laid-back,feel on edge | keep someone on edge | remain on edge | appear on edge,in edge
to be taken aback,idiom,C1,hayron qolmoq yoki dovdirab qolmoq,быть удивленным или сбитым с толку,"Used when someone is surprised or shocked by something unexpected, often in a way that leaves them momentarily speechless.",,20395,idioms,I was quite taken aback by his blunt response.,Uning keskin javobidan ancha hayron qoldim.,,shocked | surprised | stunned,,completely taken aback | taken aback by | utterly taken aback,taken back
to be at the end of one's tether,idiom,C1,"sabri tugamoq, toqat qilolmay qolmoq","исчерпать терпение, быть нетерпеливым",Used when you have run out of patience or energy to deal with a difficult situation.,,20397,idioms,I'm at the end of my tether with this noisy neighbour.,Shu shovqinchi qo'shnidan sabrim butunlay tugadi.,,frustrated | exasperated | impatient,calm | patient,reach the end of one's tether | be at the end of one's tether,"saying 'at the end of the rope' (which is the American version, but 'tether' is more common in UK)"
to take something to heart,idiom,B2,yurakka yaqin olmoq,принять близко к сердцу,Used when someone is deeply affected or hurt by criticism or a negative event.,,20399,idioms,Don't take his comments to heart; he’s just having a bad day.,Uning gaplarini yuragingizga yaqin olmang; uning shunchaki kuni yomon o'tyapti.,,be deeply affected | take personally,let it go | brush off,take criticism to heart | really take it to heart | not take it to heart,saying 'take to the heart'
to get a kick out of,idiom,B2,nimadandir zavq olmoq / huzur qilmoq,наслаждаться чем-то,"Used to express that you find something fun, exciting, or highly enjoyable.",,20401,idioms,I really get a kick out of learning new languages.,Yangi tillarni o'rganish menga juda zavq bag'ishlaydi.,,enjoy | relish | delight in,,get a real kick out of | get a huge kick out of | get a kick out of watching,saying 'get a kick in'
to be sick and tired of,idiom,B1,juda charchagan bo'lmoq (biron narsadan to'yib ketmoq),сильно уставать (от чего-либо),Expressing deep annoyance or frustration with a situation that has persisted for too long.,,20403,idioms,I'm sick and tired of hearing the same excuses every day.,Har kuni bir xil bahonalarni eshitishdan juda to'ydim.,,frustrated | exasperated | discontented,,get sick and tired of | totally sick and tired | sick and tired of doing,I am sick and tired to wait (wrong verb form: must be waiting)
to have mixed feelings,idiom,B1,"ikkilanish, qarama-qarshi hislar","колебания, противоречивые чувства",Used when you have both positive and negative feelings about a situation simultaneously.,,20405,idioms,I have mixed feelings about moving to a new country.,Yangi mamlakatga ko'chish haqida qarama-qarshi hislarim bor.,,conflicted | ambivalent | uncertain,convinced | certain,strongly mixed feelings | have mixed feelings about | express mixed feelings,Saying 'mixed emotions' (less common than 'mixed feelings')
hit it off,idiom,B1,"birinchi ko'rishdanoq chiqishib ketish, darrov til topishib ketish","выпасть с первого взгляда, сразу сойтись","Used when you meet someone for the first time and immediately form a good, friendly connection.",,20407,idioms,"I met my flatmate at a café, and we really hit it off immediately.",Men xonadoshim bilan kafeda tanishdim va darrov til topishib ketdik.,,bond | click | get along,get off on the wrong foot | dislike,hit it off immediately | hit it off right away | really hit it off,hit it off to someone
keep someone at arm's length,idiom,C1,"kimdir bilan masofa saqlash, yaqinlashmaslik","держаться на расстоянии от кого-либо, не приближаться","To maintain a distance from someone, often because you don't fully trust them or want to avoid getting too involved.",,20409,idioms,"Even though we work together, I prefer to keep him at arm's length.","Birga ishlasak ham, u bilan masofa saqlashni afzal ko'raman.",,avoid | distance | shun,embrace | get close to | let someone in,deliberately keep | tend to keep | prefer to keep | wisely keep | always keep,keep someone in arm's length
get on like a house on fire,idiom,B2,juda tez va yaqin do'st bo'lib ketish,очень быстро становимся близкими друзьями,An idiom used to describe people who become very good friends very quickly or have a very friendly relationship.,,20411,idioms,"I was worried about introducing my two friends, but they got on like a house on fire.","Ikki do'stimni tanishtirishdan xavotirlangan edim, ammo ular darrov juda yaqin chiqishib ketishdi.",,be compatible | bond | click,not get on at all | clash,really get on like a house on fire | see them get on like a house on fire,get on like a big fire
to talk things through,idiom,B2,muammolarni gaplashib hal qilmoq,"решать проблемы, разговаривая",Used when people need to discuss a difficult situation or problem in detail to resolve it.,,20413,idioms,"We had a disagreement, but we managed to talk things through.","Biz kelishmovchilik qildik, lekin hammasini gaplashib hal qila oldik.",,to resolve | to address | to hash out,to sweep under the rug | to ignore the problem,talk things through calmly | need to talk things through,Let's talk through about this.
to cut a long story short,idiom,B1,qisqa qilib aytganda,суммируя,Used when you want to skip unimportant details and jump straight to the conclusion of a story.,,20415,idioms,"To cut a long story short, we missed the train and had to sleep at the station.","Qisqasi, poezdni o'tkazib yubordik va vokzalda tunashga to'g'ri keldi.",,briefly | in summary,to go into detail | to give a blow-by-blow account,decided to | finally | end up | missed out | get to the point,Cutting long story short
as it turned out,idiom,B2,ma'lum bo'lishicha,как оказалось,Used to describe a surprising outcome or discovery at the end of a sequence of events.,,20417,idioms,"We thought the party was cancelled, but as it turned out, it was just moved to a new venue.","Bazm bekor qilindi deb o'ylagandik, ammo ma'lum bo'lishicha, u faqat boshqa joyga ko'chirilgan ekan.",,in retrospect | ultimately,,quite simple | eventually | prove to be | surprising result | not the case,As it turn out
at the crack of dawn,idiom,B2,tong sahardan,с рассвета,A vivid idiomatic way to describe getting up or starting something very early in the morning.,,20419,idioms,We had to leave at the crack of dawn to avoid the city traffic.,Shahar tirbandligidan qochish uchun tong saharda yo'lga chiqishimiz kerak edi.,,early bird | sunrise,at the dead of night | late at night,leave | wake up | start | arrive | be on the road,at the dawn crack
all of a sudden,idiom,B1,to'satdan,внезапно,Used to introduce an unexpected event or a sudden change in a story's narrative.,,20421,idioms,"We were walking through the park when, all of a sudden, it started to pour with rain.","Parkda sayr qilayotganimizda, to'satdan jala quya boshladi.",,abruptly | instantly,gradually | slowly,started to | went off | stopped | lights went out | came to a halt,all sudden
the funny thing is,idiom,B1,"qizig'i shundaki, ajablanarlisi shundaki","интересно, удивительно","Used to introduce an ironic, surprising, or unexpected detail in a story.",,20423,idioms,The funny thing is that we both ended up buying the same dress.,"Qizig'i shundaki, ikkovimiz ham oxirida bir xil ko'ylak sotib oldik.",,it is ironic that | the strange thing is,,is that | ends up | nobody noticed | actually enjoyed | spent weeks,Saying 'The funny thing it is'
as fate would have it,idiom,C1,"taqdir taqozosi bilan, kutilmaganda","волею судьбы, неожиданно","Used to describe a situation where events happened by chance or destiny, often in a slightly dramatic or ironic way.",,20425,idioms,"I missed my flight, but as fate would have it, I met my future wife in the waiting lounge.","Parvozimni o'tkazib yubordim, lekin taqdir taqozosi bilan kutish zalida bo'lajak rafiqam bilan uchrashdim.",,coincidentally | ironically | by serendipity,,future wife | met by chance | perfect spot | found by chance,Saying 'As the fate would have it'
as it happens,idiom,C1,"tasodifan, qiziq tomoni shundaki","Кстати, самое интересное",Used to introduce a fact that is surprising or relevant to the situation you are describing.,,20427,idioms,"I was looking for a new apartment, and as it happens, my friend has one for rent.","Men yangi kvartira qidirayotgan edim, tasodifan do'stimning ijaraga beradigan kvartirasi bor ekan.",,coincidentally | in actual fact,,looking for | for rent | lead actor | meeting cancelled | arrived in time,As it happened (if referring to the present)
the icing on the cake,idiom,B2,shirinlik ustidagi bezak (kutilmagan qo'shimcha yaxshilik),украсьте десерт (неожиданная вкусность),Used to describe an additional benefit or good thing that makes a good situation even better.,,20429,idioms,"The hotel was lovely, but the free breakfast was the icing on the cake.","Mehmonxona yoqimli edi, bepul nonushta esa buning ustiga qo'shimcha quvonch bo'ldi.",,bonus | added perk,the last straw | the final insult,huge success | sunny weather | flexible hours | meeting the band | great time,the icing on top of the cake
to make matters worse,idiom,B2,vaziyatni yanada yomonlashtirish uchun,чтобы усугубить ситуацию,Used when you want to add an additional negative point to a story that is already going wrong.,,20431,idioms,"We missed our train, and to make matters worse, it started to rain heavily.","Poezdni o'tkazib yubordik, buning ustiga kuchli yomg'ir yog'a boshladi.",,Additionally | Furthermore | What's more,To make matters better | Fortunately,drastically worse | significantly worse | make matters worse,To make matter worse
i couldn't believe my eyes,idiom,B1,ko'zlarimga ishona olmadim,Я не мог поверить своим глазам,Used to express deep shock or amazement at something you have witnessed.,,20433,idioms,"When I saw the sheer size of the castle, I couldn't believe my eyes.","Qal'aning naqadar ulkanligini ko'rganimda, ko'zlarimga ishonmadim.",,I was flabbergasted | I was in awe,I was not surprised | It was expected,utterly stunned | sheer disbelief | couldn't believe my eyes,I cannot believe my eyes (tense error)
as luck would have it,idiom,C1,"tosh o‘tganida, omadimiz kelib","когда камень пройдет, нам повезет","Used to describe a situation where something unexpected happened because of a stroke of luck, either good or bad.",,20435,idioms,"As luck would have it, the train was delayed, so I arrived just on time.","Omadimiz kelib, poezd kechikdi va men ayni vaqtida yetib bordim.",,Happily | By coincidence,,unexpectedly arrived | pour with rain | forgot wallet | parking space,As a luck would have it
the final straw,idiom,B2,sabr kosasini to‘ldirgan oxirgi tomchi,последняя капля в чаше терпения,Used to describe the last in a series of bad events that makes a situation intolerable.,,20437,idioms,"He had been late every day, but losing the report was the final straw.","U har kuni kech qolardi, ammo hisobotni yo'qotgani sabr kosasini to'ldirgan oxirgi tomchi bo'ldi.",,Breaking point | Tipping point,The icing on the cake,broken promise | bad attitude | constant noise | price increase | put up with,The last straw in the camel
it just so happens that,idiom,C1,Tasodifan shunday bo'ldiki / shunday bo'lib qoldiki,Случайно вышло то/вышло именно так,Used to introduce a coincidental fact in a narrative or argument.,,20439,idioms,It just so happens that I am an expert in this field.,"Tasodifan, men aynan shu sohaning mutaxassisiman.",,Coincidentally,,expert | studied | closed | report | company,It is happened that
a turning point,idiom,B2,Burilish nuqtasi,Поворотный момент,"Used to describe a specific moment where things changed significantly, often for the better.",,20441,idioms,Moving to a new city was a real turning point in my career.,Yangi shaharga ko'chish faoliyatimda haqiqiy burilish nuqtasi bo'ldi.,,Milestone | Watershed,Dead end | Stagnation,career | team | history | life | relationship,Turning point of my life
the penny dropped,idiom,B2,tushunib yetdim / tushundim,Я понял,Used to describe the moment when you finally understand something that was previously confusing.,,20443,idioms,"He kept making jokes, and it wasn't until later that the penny dropped.",U tinmay hazillashardi va faqat keyinroq gapning ma'nosini tushundim.,,the light dawned | realised | caught on,to be in the dark | to miss the point,suddenly realised | eventually understood | confusing situation,the coin dropped
to my surprise,idiom,B1,ajablanarli tomoni shundaki,"самое удивительное в том, что",Used to introduce an event that was unexpected or contrary to expectations.,,20445,idioms,"To my surprise, the exam was much easier than I had prepared for.","Ajablanarlisi shundaki, imtihon tayyorlaganimdan ancha osonroq ekan.",,unexpectedly | astonishingly,as expected | predictably,found out | realised | was shocked | unexpected outcome,To my surprising
it goes without saying,idiom,C1,o'z-o'zidan ma'lumki,само собой разумеется,"Used to introduce a fact that is so obvious it doesn't need to be stated, but you are stating it anyway.",,20447,idioms,It goes without saying that health is more important than wealth.,Sog'liq boylikdan muhimroq ekani o'z-o'zidan ma'lum.,,needless to say | obviously | self-evidently,it is debatable | it remains to be seen,absolutely essential | widely accepted | undeniable fact | obvious point,It goes without to say
all in all,idiom,B1,umuman olganda,в общем,Used to summarize a situation or experience after considering all aspects.,,20449,idioms,"All in all, it was a very productive meeting despite the initial technical issues.","Umuman olganda, dastlabki texnik muammolarga qaramay, bu juda samarali yig'ilish bo'ldi.",,on the whole | by and large | ultimately,in particular | specifically,great experience | fair assessment | positive outcome | overall view,All in all in
to steer clear of,idiom,B2,biror narsadan uzoqroq yurmoq / chetlab o'tmoq,уйти/избежать чего-либо,Used when advising others to avoid popular tourist traps or unsafe areas.,,20451,idioms,We decided to steer clear of the main square during the festival as it was too crowded.,Festival paytida u yer juda gavjum bo'lgani uchun markaziy maydondan chetlab o'tishga qaror qildik.,,avoid | bypass | evade,head straight for | frequent,steer clear of crowds | steer clear of trouble | steer clear of popular areas,Steering clear to the crowds (wrong preposition)
a stone's throw away,idiom,B1,"bir qadamlik masofada, juda yaqin","всего в шаге, очень близко",Describing locations that are very close to one another.,,20453,idioms,Our hotel was just a stone's throw from the beach.,Mehmonxonamiz plyajdan atigi bir qadamlik masofada edi.,,nearby | adjacent | close-by,miles away | a long way off,a stone's throw from the beach | a stone's throw from the city,A stone throw away (missing 's)
to soak up the atmosphere,idiom,B2,"muhitidan bahra olmoq, atmosferaga singib ketmoq","наслаждаться окружающей средой, погружаться в атмосферу",Describing the act of relaxing and experiencing the vibe of a new place.,,20455,idioms,We spent the afternoon sitting in a sidewalk cafe just soaking up the atmosphere.,"Peshindan keyin trotuar yonidagi kafeda o'tirib, shahar muhitidan bahra oldik.",,absorb | enjoy | immerse,,soak up the local atmosphere | soak up the vibrant atmosphere,Soak the atmosphere (missing 'up')
to travel light,idiom,A2,kam yuk bilan sayohat qilmoq,путешествовать с небольшим багажом,Used when talking about packing minimally to move around easily.,,20457,idioms,I always try to travel light so I don't have to wait for my luggage at the airport.,Aeroportda yukimni kutmaslik uchun doim kam yuk bilan sayohat qilishga harakat qilaman.,,pack minimal | travel minimally,travel heavy | pack everything including the kitchen sink,prefer to travel light | learn to travel light,Travel with light (wrong preposition)
a tourist trap,idiom,B1,sayyohlar uchun mo'ljallangan qimmat va sun'iy joy,дорогое и искусственное место для туристов,Used to describe a place that attracts many tourists but is considered overpriced or lacking in genuine quality.,,20459,idioms,Don't eat at that restaurant; it's a total tourist trap.,U restoranda ovqatlanmang; u sayyohlar uchun mo'ljallangan qimmat joy.,,rip-off | overpriced attraction | cynical commercial spot,hidden gem | local favourite | authentic experience,avoid a tourist trap | fall for a tourist trap | be a classic tourist trap,calling a popular museum a tourist trap just because it is busy
to travel on a shoestring,idiom,B2,juda kam mablag' bilan sayohat qilmoq,путешествовать с очень небольшими деньгами,Used when describing someone who travels while spending very little money.,,20461,idioms,"When I was a student, I used to travel on a shoestring.",Talaba bo'lganimda juda kam mablag' bilan sayohat qilardim.,,frugal travelling | budget travel | backpacker lifestyle,to travel in luxury | to splurge on a trip,manage to travel on a shoestring | decide to travel on a shoestring,saying 'travel on a string'
to be a home away from home,idiom,B1,o'z uyingdagidek qulay va iliq maskan,"уютное и теплое место, как ваш собственный дом","Used to describe a place (hotel, town, or café) where one feels as comfortable and relaxed as one does in their own home.",,20463,idioms,This little guesthouse has become my home away from home whenever I visit London.,"Londonga borganimda, bu kichik mehmon uyi o'z uyimdek bo'lib qoldi.",,haven | sanctuary | comfortable retreat,an alien environment | an uncomfortable place,truly a home away from home | feel like a home away from home,saying 'a house away from home'
on a shoestring budget,idiom,B2,"juda kam pul bilan, iqtisod qilib","с очень небольшими деньгами, экономно",Used to explain that someone is traveling with very little money and must be careful with spending.,,20465,idioms,"Back when I was a student, I traveled through Europe on a shoestring budget.","Talaba bo'lganimda, juda kam byudjet bilan Yevropani kezib chiqqanman.",,frugal | low-cost,on a luxury budget | money is no object,travel on a shoestring budget | survive on a shoestring budget,in a shoestring budget
