headword,pos,example_en,example_uz,example_ru
depending,adjective,Our plans for the weekend are depending on the weather forecast.,,Наши планы на выходные зависят от прогноза погоды.
swimming,noun,I go to the local pool for swimming every Saturday morning.,,Каждую субботу утром я хожу в местный бассейн купаться.
bodies,noun,Our bodies need regular exercise to stay strong and healthy every day.,,"Наше тело нуждается в регулярных физических упражнениях, чтобы оставаться сильным и здоровым каждый день."
pittsburgh,noun,They are planning to move to Pittsburgh for a new job opportunity.,,Они планируют переехать в Питтсбург в поисках новой работы.
moore,noun,They spent the afternoon hiking across the misty moore in Northern England.,,День они провели в походе по туманной пустоши в Северной Англии.
denmark,noun,Denmark is famous for its beautiful cities and very friendly cycling culture.,,Дания славится своими красивыми городами и очень дружелюбной велосипедной культурой.
patrick,noun,My cousin Patrick is coming to visit us from Ireland next month.,,Мой двоюродный брат Патрик приезжает к нам в гости из Ирландии в следующем месяце.
puerto,noun,The cruise ship docked at the sunny Puerto early this morning.,,Сегодня рано утром круизный лайнер пришвартовался в солнечном Пуэрто.
delaware,noun,Many companies choose to register their business in the state of Delaware.,,Многие компании предпочитают регистрировать свой бизнес в штате Делавэр.
barbara,noun,Barbara is my mother's best friend since they were in high school.,,"Барбара — лучшая подруга моей матери с тех пор, как они учились в старшей школе."
pursuant,adjective,The company acted pursuant to the new regulations set by the government.,,"Компания действовала в соответствии с новыми правилами, установленными правительством."
fabric,noun,She chose a soft fabric to make a summer dress for herself.,,Для пошива летнего платья она выбрала мягкую ткань.
caught,verb,The goalkeeper caught the ball easily before it hit the net.,,"Вратарь легко перехватил мяч еще до того, как он попал в сетку."
tube,noun,I squeezed a little bit of toothpaste out of the tube.,,Я выдавила из тюбика немного зубной пасты.
hobbies,noun,My favorite hobbies are reading books and playing the guitar.,,Мои любимые хобби — чтение книг и игра на гитаре.
injuries,noun,He suffered several injuries after falling from his bicycle yesterday.,,Вчера он получил несколько травм после падения с велосипеда.
madison,noun,The team won the gold medal in the madison event last night.,,Вчера вечером команда выиграла золотую медаль на соревнованиях в Мэдисоне.
prison,noun,The man was sent to prison for stealing from the bank.,,Мужчину посадили в тюрьму за кражу из банка.
skill,noun,Learning a new language is a very useful skill for your career.,,Изучение нового языка — очень полезный навык для вашей карьеры.
everyday,adjective,These comfortable shoes are perfect for my everyday activities at work.,,Эта удобная обувь идеально подходит для повседневной деятельности на работе.
apparently,adverb,"Apparently, the train will be delayed by at least thirty minutes today.",,"Судя по всему, поезд сегодня задержится как минимум на тридцать минут."
surrounding,noun,The surrounding area is full of beautiful green trees and small hills.,,Окрестности полны красивых зеленых деревьев и небольших холмов.
popularity,noun,The popularity of this new smartphone has grown very quickly this year.,,Популярность этого нового смартфона в этом году очень быстро выросла.
inquiry,noun,The company launched an official inquiry into the cause of the accident.,,Компания начала официальное расследование причин аварии.
ethernet,noun,We need to connect the desktop computer using an Ethernet cable today.,,Сегодня нам нужно подключить настольный компьютер с помощью кабеля Ethernet.
throw,verb,Can you throw the ball to me across the wide green field?,,Можешь бросить мне мяч через широкое зеленое поле?
sierra,noun,We hiked along the snow-covered sierra during our vacation last winter.,,Прошлой зимой во время отпуска мы гуляли по заснеженной Сьерре.
desert,noun,The Sahara is the largest hot desert in the entire world.,,Сахара – самая большая жаркая пустыня во всем мире.
coordinator,noun,The event coordinator ensured that everything went according to the plan.,,"Координатор мероприятия позаботился о том, чтобы все прошло по плану."
obviously,adverb,She was obviously happy with the results of her hard work.,,Она была явно довольна результатами своего тяжелого труда.
mercury,noun,Mercury is a toxic element that should be handled with care.,,"Ртуть – токсичный элемент, с которым следует обращаться осторожно."
handbook,noun,The employee handbook contains all the rules of the company office.,,В справочнике сотрудника указаны все правила работы офиса компании.
worse,adjective,Your exam results are worse than they were last year.,,"Твои результаты экзаменов хуже, чем в прошлом году."
victims,noun,The police are helping the victims of the storm find food.,,Полиция помогает жертвам урагана найти еду.
burning,adjective,We sat near the burning fire to keep ourselves warm.,,"Мы сидели возле горящего костра, чтобы согреться."
coupons,noun,I used my discount coupons to buy groceries at the store.,,"Я использовал купоны на скидку, чтобы купить продукты в магазине."
somewhat,adverb,The situation was somewhat complicated for the new team members.,,Ситуация была несколько сложной для новых членов команды.
receiver,noun,She was the official receiver of the award for her team.,,Она была официальным обладателем награды своей команды.
progressive,adjective,The school follows a progressive approach to teaching its young students.,,Школа придерживается прогрессивного подхода к обучению своих юных учеников.
glance,verb,I took a quick glance at the clock before leaving home.,,"Прежде чем уйти из дома, я бросил быстрый взгляд на часы."
scottish,adjective,He enjoys listening to traditional Scottish folk music every morning.,,Каждое утро ему нравится слушать традиционную шотландскую народную музыку.
arcade,noun,We walked through the shopping arcade to escape the heavy rain.,,"Мы прошли через торговый пассаж, спасаясь от сильного дождя."
richmond,noun,Richmond is an important historical city in the American South.,,Ричмонд — важный исторический город на юге Америки.
sacramento,noun,The government buildings are located in the city of Sacramento.,,Правительственные здания расположены в городе Сакраменто.
impossible,adjective,It is impossible to finish this project in just one hour.,,Невозможно завершить этот проект всего за один час.
fiber,noun,The microscope showed a single blue fiber stuck to his shoe.,,"Микроскоп показал единственное синее волокно, прилипшее к его ботинку."
depression,noun,"I used to suffer from depression, but now I feel much better.",,"Раньше я страдал от депрессии, но сейчас чувствую себя намного лучше."
graph,noun,The graph shows how the population has changed over the last decade.,,"На графике показано, как изменилась численность населения за последнее десятилетие."
platinum,noun,The ring was made of expensive platinum set with small diamonds.,,Кольцо было изготовлено из дорогой платины и украшено мелкими бриллиантами.
judgment,noun,You should use your own judgment when deciding what is right or wrong.,,"Вы должны руководствоваться собственным суждением, когда решаете, что правильно, а что нет."
tissue,noun,I need a tissue because I think I am getting a cold.,,"Мне нужна салфетка, потому что я думаю, что простужаюсь."
memorabilia,noun,He keeps a collection of old concert memorabilia in his study room.,,В своем кабинете он хранит коллекцию старых концертных памятных вещей.
cartridge,noun,The printer stopped working because the ink cartridge was completely empty.,,"Принтер перестал работать, поскольку чернильный картридж был полностью пуст."
folk,noun,There were so many folk at the park during the sunny afternoon.,,В солнечный день в парке было так много людей.
subsection,noun,Please read the final subsection of the report before the meeting starts.,,"Пожалуйста, прочтите последний подраздел отчета до начала заседания."
electricity,noun,The power went out and we lost all our electricity last night.,,"Вчера вечером отключилось электричество, и мы потеряли все электричество."
permitted,adjective,Smoking is not permitted inside the public building during office hours.,,Курение в общественном здании в рабочее время запрещено.
arrival,noun,The arrival of our train was delayed by over two hours.,,Прибытие нашего поезда задержалось более чем на два часа.
okay,adjective,"The movie was just okay, but I enjoyed the popcorn.",,"Фильм был неплохим, но попкорн мне понравился."
emphasis,noun,The school places a lot of emphasis on learning foreign languages.,,В школе большое внимание уделяется изучению иностранных языков.
closer,adjective,Please sit closer to the screen so you can see better.,,"Пожалуйста, сядьте поближе к экрану, чтобы лучше видеть."
shadow,noun,We sat in the shadow of a large tree to escape heat.,,"Мы сидели в тени большого дерева, спасаясь от жары."
infection,noun,You should clean the wound properly to prevent a serious infection.,,"Вам следует тщательно очистить рану, чтобы предотвратить серьезную инфекцию."
expense,noun,Buying a new car was a big expense for our family budget.,,Покупка новой машины была большой статьей расходов для нашего семейного бюджета.
grove,noun,They enjoyed walking through the quiet olive grove during their holiday.,,Во время отпуска им понравилось гулять по тихой оливковой роще.
eligibility,noun,The committee will check your eligibility for the student scholarship program.,,Комитет проверит ваше право на участие в программе студенческих стипендий.
clinic,noun,He made an appointment at the local clinic for a checkup.,,Он записался на осмотр в местную клинику.
healing,noun,Rest and good food are important for the healing of your wound.,,Отдых и хорошая еда важны для заживления раны.
princess,noun,The young princess waved to the crowds from the palace balcony.,,Юная принцесса помахала толпе с балкона дворца.
mall,noun,We spent all Saturday afternoon walking around the big city mall.,,"Мы провели весь субботний день, гуляя по торговому центру большого города."
packet,noun,"Don't throw the empty crisp packet on the floor, please.",,"Не бросайте пустой пакет из-под чипсов на пол, пожалуйста."
spray,verb,He had to spray some water on the dry plants in the garden.,,Ему пришлось опрыскать водой сухие растения в саду.
involvement,noun,Her involvement in the school project helped everyone finish the work faster.,,Ее участие в школьном проекте помогло всем быстрее закончить работу.
dad,noun,My dad taught me how to ride a bicycle when I was young.,,"Мой отец научил меня кататься на велосипеде, когда я был маленьким."
placement,noun,The careful placement of the cameras helps keep the building very safe.,,Тщательное размещение камер помогает обеспечить безопасность здания.
observations,noun,Scientists recorded their observations throughout the long study of the rare birds.,,Ученые фиксировали свои наблюдения на протяжении всего длительного изучения редких птиц.
funded,verb,The local government funded the construction of the new school library building.,,Местное правительство профинансировало строительство нового здания школьной библиотеки.
pat,verb,He bent down to pat the dog on its soft brown head.,,"Он наклонился, чтобы погладить собаку по ее мягкой коричневой голове."
fell,verb,They had to fell several dead trees to keep the forest path safe.,,"Чтобы обезопасить лесную тропу, им пришлось срубить несколько сухих деревьев."
motorcycle,noun,My brother rides his motorcycle to work every single morning in summer.,,Летом мой брат каждое утро ездит на работу на мотоцикле.
disclosure,noun,The company was forced to make a full disclosure of its finances.,,Компания была вынуждена полностью раскрыть информацию о своих финансах.
establishment,noun,Pedro's is a fine establishment serving a variety of delicious food.,,"Pedro's - прекрасное заведение, предлагающее разнообразную вкусную еду."
tourist,noun,Many tourists visit the old city to see the historical monuments.,,"Многие туристы посещают старый город, чтобы увидеть исторические памятники."
murder,noun,The police are investigating the murder that happened last night.,,"Полиция расследует убийство, произошедшее вчера вечером."
senator,noun,The senator spoke to the public about the new national tax laws.,,Сенатор рассказал общественности о новом национальном налоговом законодательстве.
pour,verb,Could you please pour some cold water into my empty glass?,,Не могли бы вы налить немного холодной воды в мой пустой стакан?
digest,verb,It is better to walk a little after you digest your food.,,"Лучше немного погулять после того, как вы переварите пищу."
tion,noun,The lion and tiger hybrid known as a tion is very rare.,,"Гибрид льва и тигра, известный как ация, встречается очень редко."
dust,verb,You should dust the furniture before you start cleaning the floor.,,"Прежде чем приступить к мытью пола, необходимо вытереть пыль с мебели."
hence,adverb,The meeting will take place two weeks hence in the main office.,,Встреча состоится через две недели в главном офисе.
entirely,adverb,I am not entirely sure if we have enough time for this.,,"Я не совсем уверен, хватит ли у нас на это времени."
radar,noun,The airport uses radar to track the positions of all incoming planes.,,Аэропорт использует радар для отслеживания местонахождения всех прибывающих самолетов.
rescue,verb,The well-trained team rescued everyone after the avalanche in the mountains.,,Хорошо обученная команда спасла всех после схода лавины в горах.
combat,verb,The government is trying to find new ways to combat drug addiction.,,Правительство пытается найти новые способы борьбы с наркозависимостью.
stopped,adjective,They passed a stopped car on the side of the road today.,,Сегодня они проехали мимо остановившейся машины на обочине дороги.
occupation,noun,"Please fill out your name, address, and occupation on this form.",,"Пожалуйста, укажите свое имя, адрес и род деятельности в этой форме."
donations,noun,The charity relies on small donations from the public to survive.,,"Чтобы выжить, благотворительная организация полагается на небольшие пожертвования общественности."
baker,noun,The local baker makes fresh bread every morning before we wake up.,,"Местный пекарь каждое утро печет свежий хлеб, прежде чем мы просыпаемся."
elsewhere,adverb,"If this shop is closed, we should try looking somewhere elsewhere.",,"Если этот магазин закрыт, нам следует попробовать поискать где-нибудь в другом месте."
conservative,adjective,The older generation often has a conservative view on new technology.,,Старшее поколение часто имеет консервативный взгляд на новые технологии.
guestbook,noun,Please write your name in the guestbook before you leave the hotel.,,"Пожалуйста, запишите свое имя в гостевую книгу, прежде чем покинуть отель."
shock,verb,The sudden news about the accident really shocked the whole town.,,Внезапная новость об аварии действительно потрясла весь город.
effectiveness,noun,We need to test the effectiveness of this new teaching method.,,Нам необходимо проверить эффективность этого нового метода обучения.
ebony,noun,The artist carved a beautiful small statue out of dark polished ebony.,,Художник вырезал красивую небольшую статуэтку из темного полированного черного дерева.
drawn,adjective,The final football match ended in a tense and drawn game today.,,Финальный футбольный матч сегодня завершился в напряженной и ничьей.
walker,noun,The park was full of early morning walkers enjoying the fresh air.,,"Парк был полон утренних прогуливающихся, наслаждающихся свежим воздухом."
kiss,verb,She leaned forward to kiss her mother on the cheek goodbye.,,"Она наклонилась вперед, чтобы поцеловать мать в щеку на прощание."
beast,noun,The legends told stories of a dangerous beast living in the forest.,,"Легенды рассказывали истории об опасном звере, живущем в лесу."
experiment,noun,We will conduct a science experiment in the lab this afternoon.,,Сегодня днем ​​мы проведем научный эксперимент в лаборатории.
overseas,adjective,Many companies are now expanding into new overseas markets for growth.,,Многие компании в настоящее время выходят на новые зарубежные рынки для роста.
dodge,verb,He tried to dodge the difficult question during the live interview.,,Он попытался уклониться от сложного вопроса во время интервью в прямом эфире.
counsel,verb,The lawyer did counsel his client to remain silent during questioning.,,Адвокат посоветовал своему клиенту хранить молчание во время допроса.
federation,noun,The sports federation decided to host the international championship this year.,,Спортивная федерация приняла решение провести в этом году международный чемпионат.
pizza,noun,We ordered a large pepperoni pizza for our dinner last night.,,Вчера вечером мы заказали на ужин большую пиццу пепперони.
assignment,noun,The teacher gave us a challenging assignment to complete by Friday.,,"Учитель дал нам сложное задание, которое нужно выполнить к пятнице."
queries,noun,The teacher was happy to answer any queries from the students.,,Преподаватель был рад ответить на любые вопросы учеников.
rush,verb,I had to rush to catch my bus this morning.,,"Сегодня утром мне пришлось спешить, чтобы успеть на автобус."
absence,noun,"During his long absence from work, the office was very quiet.",,Во время его долгого отсутствия на работе в офисе было очень тихо.
cluster,noun,A small cluster of trees stood in the middle of the field.,,Посреди поля стояла небольшая группа деревьев.
whereas,conjunction,"I love spicy food, whereas my sister prefers it mild.",,"Я люблю острую пищу, а моя сестра предпочитает острую."
yoga,noun,She practices yoga every morning to feel relaxed and focused.,,"Она занимается йогой каждое утро, чтобы чувствовать себя расслабленной и сосредоточенной."
surprise,noun,It was a big surprise when my friend visited me today.,,"Для меня было большим сюрпризом, когда мой друг навестил меня сегодня."
everybody,pronoun,Does everybody have their ticket ready for the train ride today?,,У всех готовы билеты на сегодняшнюю поездку на поезде?
sublime,adjective,The view of the mountains at sunrise was absolutely sublime and unforgettable.,,Вид на горы на рассвете был совершенно величественным и незабываемым.
acceptable,adjective,"His performance was acceptable, although it could have been much better.",,"Его игра была приемлемой, хотя могла бы быть намного лучше."
glad,adjective,I am so glad that you could come to my party today.,,"Я так рада, что ты смог прийти сегодня на мою вечеринку."
globe,noun,Students looked at the globe to locate all the different countries.,,"Учащиеся смотрели на глобус, чтобы найти разные страны."
copper,noun,Old electricity wires are often made of copper because it conducts well.,,"Старые электрические провода часто делают из меди, поскольку она хорошо проводит ток."
rack,noun,Please put your wet coat on the rack near the front door.,,"Пожалуйста, положите мокрое пальто на вешалку возле входной двери."
medication,noun,You must take your medication exactly as the doctor has prescribed it.,,"Вы должны принимать лекарства точно так, как их прописал врач."
warehouse,noun,The furniture is kept in a warehouse until it is ready for delivery.,,Мебель хранится на складе до готовности к отправке.
shareware,noun,You can download this shareware to test if the program suits your needs.,,"Вы можете загрузить эту условно-бесплатную программу, чтобы проверить, соответствует ли программа вашим потребностям."
receipt,noun,Keep your receipt in case you need to return the item later.,,"Сохраните чек на случай, если вам понадобится вернуть товар позже."
supposed,adjective,He is the supposed leader of this dangerous and secret criminal organization.,,Он предполагаемый лидер этой опасной и секретной преступной организации.
nobody,pronoun,"I looked inside the dark room, but there was nobody at all.",,"Я заглянул в темную комнату, но там вообще никого не было."
ghost,noun,The children were scared because they thought they saw a ghost yesterday.,,"Дети были напуганы, потому что думали, что вчера видели привидение."
violation,noun,Parking in front of the gate is a clear violation of rules.,,Парковка перед воротами — явное нарушение правил.
configure,verb,You need to configure your email settings before you can send messages.,,"Прежде чем отправлять сообщения, вам необходимо настроить параметры электронной почты."
stability,noun,The economic stability of the country helps businesses grow and expand further.,,Экономическая стабильность страны помогает бизнесу расти и расширяться дальше.
southwest,noun,We are planning to visit a small town in the southwest region.,,Мы планируем посетить небольшой город в юго-западном регионе.
pride,noun,She felt a great sense of pride when her son graduated university.,,"Она испытала огромное чувство гордости, когда ее сын окончил университет."
institutional,adjective,The government needs to address deep-rooted institutional problems in the healthcare sector.,,Правительству необходимо решить глубоко укоренившиеся институциональные проблемы в секторе здравоохранения.
independence,noun,Many countries fought for their independence during the twentieth century.,,Многие страны боролись за свою независимость в двадцатом веке.
reporter,noun,The reporter interviewed the politician about the new city development project.,,Репортер взял интервью у политика о новом проекте развития города.
metabolism,noun,Regular exercise can help to increase your body's metabolism over time.,,Регулярные физические упражнения могут со временем помочь улучшить метаболизм вашего организма.
champion,noun,He became the world champion after winning the final match last night.,,Он стал чемпионом мира после победы в финальном матче вчера вечером.
cloudy,adjective,"It was a cloudy day, so we decided to stay inside home.",,"День был пасмурный, поэтому мы решили остаться дома."
personally,adverb,"I am really annoyed with her, personally, for what she said.",,"Лично я очень зол на нее из-за того, что она сказала."
plenty,noun,We are lucky to live in a land of peace and plenty.,,Нам повезло жить в стране мира и изобилия.
solo,adjective,The pilot successfully completed his first solo flight yesterday morning.,,Вчера утром пилот успешно совершил свой первый самостоятельный полет.
sentence,verb,The judge sentenced the man to five years in prison today.,,Сегодня судья приговорил мужчину к пяти годам лишения свободы.
ignore,verb,He decided to ignore the rude comments made by his neighbor.,,Он решил проигнорировать грубые комментарии своего соседа.
maria,noun,Scientists study the maria on the moon to learn about its history.,,"Ученые изучают Марию на Луне, чтобы узнать ее историю."
excellence,noun,The university is known for excellence in teaching and scientific research.,,Университет известен выдающимися достижениями в преподавании и научных исследованиях.
wealth,noun,He used his family wealth to help those in his community.,,"Он использовал богатство своей семьи, чтобы помочь членам своего сообщества."
tall,adjective,The new building is very tall and can be seen from everywhere.,,Новое здание очень высокое и видно отовсюду.
somewhere,adverb,I must have left my keys somewhere in the living room.,,"Должно быть, я оставил ключи где-то в гостиной."
vacuum,verb,You should vacuum the carpet once a week to keep it clean.,,"Ковер следует пылесосить раз в неделю, чтобы он оставался чистым."
brass,noun,The old door handles were made of polished brass.,,Старые дверные ручки были сделаны из полированной латуни.
plaza,noun,The tourists sat on a bench in the sunny city plaza.,,Туристы сидели на скамейке на солнечной городской площади.
survival,noun,His survival in the open ocean for three days was a miracle.,,Его выживание в открытом океане в течение трех дней было чудом.
quest,noun,The knight went on a long quest to find the hidden treasure.,,Рыцарь отправился на долгие поиски спрятанного сокровища.
toe,noun,I accidentally hit my big toe against the corner of the table.,,Я случайно ударился большим пальцем ноги об угол стола.
thumbnail,noun,Click on the thumbnail to see the full version of the photo.,,"Нажмите на миниатюру, чтобы увидеть полную версию фотографии."
whenever,conjunction,"Whenever he has a pair of aces, his eyelids twitch.",,"Всякий раз, когда у него пара тузов, его веки дергаются."
nova,noun,The astronomer was excited to observe the sudden appearance of a nova.,,"Астроном был взволнован, наблюдая внезапное появление новой звезды."
lifetime,noun,It is the chance of a lifetime to visit such a place.,,Это шанс на всю жизнь посетить такое место.
booty,noun,The pirates buried their stolen booty on a secret tropical island.,,Пираты закопали украденную добычу на секретном тропическом острове.
forgotten,adjective,He found a forgotten letter hidden in his old desk drawer.,,"Он нашел забытое письмо, спрятанное в ящике своего старого стола."
acrobat,noun,The acrobat performed amazing stunts high above the circus ring.,,Акробат исполнял удивительные трюки высоко над цирковой ареной.
venue,noun,They have finally chosen a large venue for the music festival.,,Наконец-то они выбрали большую площадку для музыкального фестиваля.
athletic,adjective,He has a very athletic build because he plays tennis every day.,,"У него очень спортивное телосложение, потому что он каждый день играет в теннис."
thermal,adjective,You should wear thermal underwear if you go skiing in the mountains.,,"Если вы катаетесь на лыжах в горах, вам следует надеть термобелье."
fairly,adverb,"The test was fairly difficult, but most students finished it on time.",,"Тест был довольно трудным, но большинство студентов справились с ним вовремя."
intelligent,adjective,She is an intelligent student who asks very thoughtful questions in class.,,"Она умная ученица, которая задает очень вдумчивые вопросы на уроках."
traveler,noun,The lonely traveler walked across the desert under the hot sun.,,Одинокий путник шел по пустыне под палящим солнцем.
enemy,noun,He made a lot of enemies after changing the rules at work.,,Он нажил много врагов после изменения правил на работе.
puzzle,noun,Solving this crossword puzzle is much harder than I first thought.,,"Разгадать этот кроссворд гораздо сложнее, чем я думал сначала."
aluminum,noun,Many drink cans are made of thin aluminum sheets today.,,Сегодня многие банки для напитков изготавливаются из тонких алюминиевых листов.
wishlist,noun,I added the camera to my online wishlist for my next birthday.,,Я добавил камеру в свой онлайн-список желаний на свой следующий день рождения.
sms,noun,Please send me an sms when you arrive at the train station.,,"Пожалуйста, пришлите мне смс, когда приедете на вокзал."
republican,adjective,The politician expressed his strong republican views during the public debate.,,Политик выразил свои твердые республиканские взгляды в ходе публичных дебатов.
latter,adjective,We had coffee and cake; the latter was absolutely delicious to eat.,,У нас был кофе и пирожное; последнее было очень вкусно есть.
thick,adjective,He wore a thick coat because it was freezing outside today.,,"На нем было толстое пальто, потому что сегодня на улице было холодно."
syndrome,noun,The doctor explained that her symptoms indicate a specific medical syndrome.,,"Врач пояснил, что ее симптомы указывают на конкретный медицинский синдром."
attendance,noun,Attendance at all the university lectures is important for passing the exam.,,Посещение всех университетских лекций важно для сдачи экзамена.
penalty,noun,The referee gave a penalty because the player touched the ball.,,"Судья назначил пенальти, потому что игрок коснулся мяча."
drum,noun,The young boy practiced playing the drums in his room all afternoon.,,Весь день мальчик практиковался в игре на барабанах в своей комнате.
builder,noun,The builder said the new house will be finished by next month.,,"Застройщик сообщил, что новый дом будет готов к следующему месяцу."
vista,noun,"From the mountain top, we enjoyed a stunning vista of the valley.",,С вершины горы нам открылся потрясающий вид на долину.
flood,noun,The heavy rain caused a major flood in the town center yesterday.,,Вчера сильный дождь вызвал сильное наводнение в центре города.
ease,noun,She learned to speak the new language with surprising ease.,,Она научилась говорить на новом языке с удивительной легкостью.
arena,noun,Thousands of fans gathered at the arena to watch the final match.,,Посмотреть финальный матч на арене собрались тысячи болельщиков.
announcement,noun,The head of the company made an important announcement during the meeting.,,В ходе встречи глава компании сделал важное заявление.
appreciate,verb,I really appreciate all the hard work you did for this project.,,"Я очень ценю всю тяжелую работу, которую вы проделали для этого проекта."
casual,adjective,Most of the office staff prefers to wear casual clothes on Fridays.,,Большинство офисных сотрудников предпочитают по пятницам носить повседневную одежду.
grown,adjective,I am a grown person and can make my own choices.,,Я взрослый человек и могу сделать свой собственный выбор.
polish,verb,He had to polish the wooden table until it was shiny.,,Ему пришлось отполировать деревянный стол до блеска.
lovely,adjective,We had a lovely time at the park yesterday afternoon.,,Вчера днём мы прекрасно провели время в парке.
clause,noun,The teacher explained how to identify a dependent clause correctly.,,"Учитель объяснил, как правильно определить придаточное предложение."
troops,noun,The troops returned home after the long mission was finished.,,Войска вернулись домой после завершения долгой миссии.
indoor,adjective,We played indoor games because it was raining outside.,,"Мы играли в игры в помещении, потому что на улице шел дождь."
broker,noun,The real estate broker helped us find a nice house to buy.,,Брокер по недвижимости помог нам найти хороший дом для покупки.
charger,noun,Put the batteries in the charger overnight so we can use them tomorrow.,,"Поместите батарейки в зарядное устройство на ночь, чтобы мы могли использовать их завтра."
regularly,adverb,We regularly buy lottery tickets from the corner store.,,Мы регулярно покупаем лотерейные билеты в магазине на углу.
pine,noun,The northern slopes were covered mainly in pine.,,Северные склоны были покрыты преимущественно соснами.
tend,verb,They tend to go out on Saturdays.,,"Они, как правило, выходят по субботам."
gulf,noun,There is a growing gulf between the rich and the poor.,,Между богатыми и бедными растет пропасть.
rick,verb,I think I managed to rick my neck while sleeping on the train.,,"Кажется, мне удалось сломать себе шею, пока я спал в поезде."
divorce,noun,Richard obtained a divorce from his wife some years ago.,,Несколько лет назад Ричард развелся со своей женой.
shopper,noun,The busy shopper looked for the best price on winter coats.,,Занятой покупатель искал зимние пальто по лучшей цене.
partly,adverb,The project was partly finished when the deadline finally arrived today.,,"Проект был частично завершен, когда сегодня наконец наступил крайний срок."
customize,verb,You can customize the settings on your phone to match your preferences.,,Вы можете настроить параметры своего телефона в соответствии со своими предпочтениями.
candy,noun,My little brother loves eating candy after his delicious healthy lunch.,,Мой младший брат любит есть конфеты после вкусного здорового обеда.
pills,noun,The doctor told him to take his pills twice every single day.,,Врач посоветовал ему принимать таблетки два раза в день.
sensor,noun,Modern phones contain a light sensor that adjusts the screen brightness automatically.,,"Современные телефоны оснащены датчиком освещенности, который автоматически регулирует яркость экрана."
telecom,noun,The government is investing heavily in the national telecom infrastructure this year.,,В этом году правительство инвестирует значительные средства в национальную телекоммуникационную инфраструктуру.
hunt,verb,The police are currently hunting for evidence to solve the local crime.,,В настоящее время полиция ищет улики для раскрытия местного преступления.
deputy,noun,The deputy director managed the office while the boss was away traveling.,,"Заместитель директора руководил офисом, пока начальник был в отъезде."
complaint,noun,We received a formal complaint regarding the poor service at our restaurant.,,Мы получили официальную жалобу на плохое обслуживание в нашем ресторане.
afghanistan,noun,My friend traveled across the mountains of Afghanistan last summer.,,Прошлым летом мой друг путешествовал по горам Афганистана.
